,,0
77,28,36559690.0
31,30,34897985.0
88,22,33279374.0
90,23,32047167.0
106,-7,31621452.0
139,35,31418696.0
121,31,25018048.0
-47,-24,24393512.0
3,6,22824260.0
113,22,20644356.0
85,25,20629902.0
-100,19,20540877.0
67,24,20286378.0
113,23,19902418.0
116,39,19273043.0
121,14,18902710.0
85,26,18721988.0
107,-7,18329067.0
100,13,16913690.0
72,19,16829348.0
106,10,16571709.0
114,22,16507664.0
112,-8,16303935.0
120,31,16299192.0
83,26,16172631.0
74,31,16133459.0
84,26,16129037.0
90,24,16120855.0
37,55,16104043.0
82,25,15596267.0
135,34,15528362.0
86,25,15523179.0
-59,-35,15421971.0
88,23,15301323.0
120,30,15107521.0
89,24,15057394.0
110,-8,15010896.0
84,25,14996709.0
80,26,14722621.0
126,37,14540103.0
83,25,14424557.0
51,35,14270862.0
116,23,13681372.0
120,14,13271054.0
78,27,13133264.0
88,24,12960294.0
114,30,12913500.0
77,29,12872562.0
15,-5,12762100.0
89,25,12685776.0
127,37,12671868.0
87,25,12631159.0
89,23,12500276.0
-44,-23,12362415.0
104,30,12311955.0
82,26,12305249.0
78,28,12081445.0
113,34,12070822.0
117,39,12050806.0
88,25,11765758.0
7,5,11718560.0
74,32,11711647.0
78,17,11592881.0
-1,51,11586331.0
79,28,11537613.0
77,12,11399143.0
123,41,11267605.0
87,22,11160294.0
106,29,11010489.0
73,19,10972792.0
81,26,10936574.0
2,48,10835582.0
108,34,10759706.0
-74,40,10737763.0
91,22,10719486.0
73,33,10689087.0
-75,4,10578490.0
86,26,10412164.0
91,24,10342798.0
81,25,10283889.0
114,36,10265657.0
76,10,10224947.0
86,23,10204241.0
72,23,10193827.0
91,23,10143029.0
87,23,10023286.0
73,18,9943209.0
77,27,9830614.0
73,31,9756406.0
79,27,9645516.0
105,21,9641872.0
80,27,9628159.0
71,34,9486437.0
88,26,9442443.0
80,13,9350897.0
13,-9,9300928.0
90,22,9218722.0
87,26,9188757.0
81,27,9067485.0
117,36,8981755.0
118,24,8945270.0
106,20,8921965.0
-99,19,8887760.0
84,24,8747279.0
116,35,8708289.0
44,33,8681812.0
109,-8,8666561.0
103,1,8607796.0
31,29,8578532.0
108,-7,8567825.0
76,9,8488799.0
76,30,8380284.0
89,22,8344941.0
114,33,8344716.0
71,29,8336176.0
118,32,8331614.0
119,32,8299425.0
117,31,8292874.0
117,34,8278971.0
30,30,8259653.0
31,31,8228709.0
71,30,8212408.0
115,38,8169252.0
115,35,8144563.0
114,38,8130383.0
38,8,8059498.0
112,34,7999230.0
110,21,7976385.0
-75,40,7966569.0
